custom_id,group
438cf--HCC_29-HCC-SRX8182122-pe,HCC
438cf--PDAC_31-PDAC-SRX8182123-pe,PDAC
438cf--GC_31-GC-SRX8182124-pe,GC
438cf--GC_34-GC-SRX8182125-pe,GC
438cf--GC_20-GC-SRX8182126-pe,GC
438cf--HCC_33-HCC-SRX8182127-pe,HCC
438cf--CRC_32-CRC-SRX8182128-pe,CRC
438cf--ESCC_19-ESCC-SRX8182129-pe,ESCC
438cf--HCC_27-HCC-SRX8182130-pe,HCC
438cf--HCC_22-HCC-SRX8182131-pe,HCC
438cf--ESCC_13-ESCC-SRX8182132-pe,ESCC
438cf--EAC_10-EAC-SRX8182133-pe,EAC
438cf--GC_36-GC-SRX8182134-pe,GC
438cf--HCC_23-HCC-SRX8182135-pe,HCC
438cf--ESCC_17-ESCC-SRX8182136-pe,ESCC
438cf--ESCC_20-ESCC-SRX8182137-pe,ESCC
438cf--EAC_11-EAC-SRX8182138-pe,EAC
438cf--PDAC_19-PDAC-SRX8182139-pe,PDAC
438cf--PDAC_28-PDAC-SRX8182140-pe,PDAC
438cf--EAC_12-EAC-SRX8182141-pe,EAC
438cf--PDAC_7-PDAC-SRX8182142-pe,PDAC
438cf--ESCC_14-ESCC-SRX8182143-pe,ESCC
438cf--GC_25-GC-SRX8182144-pe,GC
438cf--ESCC_15-ESCC-SRX8182145-pe,ESCC
438cf--PDAC_30-PDAC-SRX8182146-pe,PDAC
438cf--ESCC_16-ESCC-SRX8182147-pe,ESCC
438cf--GC_24-GC-SRX8182148-pe,GC
438cf--HCC_31-HCC-SRX8182149-pe,HCC
438cf--HCC_32-HCC-SRX8182150-pe,HCC
438cf--ESCC_12-ESCC-SRX8182151-pe,ESCC
438cf--HCC_25-HCC-SRX8182152-pe,HCC
438cf--HCC_28-HCC-SRX8182153-pe,HCC
438cf--PDAC_26-PDAC-SRX8182154-pe,PDAC
438cf--ESCC_21-ESCC-SRX8182155-pe,ESCC
438cf--CRC_2-CRC-SRX8182156-pe,CRC
438cf--ESCC_18-ESCC-SRX8182157-pe,ESCC
438cf--ESCC_26-ESCC-SRX8182158-pe,ESCC
438cf--GC_17-GC-SRX8182159-pe,GC
438cf--HCC_30-HCC-SRX8182160-pe,HCC
